state,district,taluk,latitude,longitude,streetlights,population_density,patrol_frequency,base_crime_rate,hour,day_of_week,seed,safety_score,safety_level,incident_occurred,crime_type
Delhi,New Delhi,New Delhi Central,28.65082,77.142,0.97,0.79,0.57,0.58,22,6,0,62.46,1,0,None
Delhi,New Delhi,New Delhi Central,28.65227,77.12412,1.0,0.79,0.71,0.58,3,1,1,66.32,1,0,None
Delhi,New Delhi,New Delhi Central,28.64417,77.13128,0.85,0.79,0.8,0.58,11,5,2,76.58,2,0,None
Delhi,New Delhi,New Delhi Central,28.64862,77.11987,0.81,0.79,0.65,0.58,22,3,3,57.69,1,0,None
Delhi,New Delhi,New Delhi Central,28.65256,77.13328,0.91,0.79,0.73,0.58,0,5,4,61.55,1,1,Eve Teasing
Delhi,New Delhi,New Delhi Central,28.65307,77.14712,0.91,0.79,0.76,0.58,18,1,5,69.99,1,0,None
Delhi,New Delhi,New Delhi Central,28.64642,77.15495,0.92,0.79,0.74,0.58,16,1,6,77.59,2,0,None
Delhi,New Delhi,New Delhi Central,28.6549,77.14158,1.0,0.79,0.59,0.58,10,5,7,78.99,2,0,None
Delhi,New Delhi,New Delhi Central,28.64534,77.13423,0.87,0.79,0.73,0.58,14,0,8,76.29,2,0,None
Delhi,New Delhi,New Delhi Central,28.6578,77.14643,0.98,0.79,0.81,0.58,8,0,9,81.1,2,0,None
Delhi,New Delhi,New Delhi Central,28.64675,77.13225,0.82,0.79,0.71,0.58,22,0,10,58.83,1,0,None
Delhi,New Delhi,New Delhi Central,28.65479,77.14047,0.88,0.79,0.75,0.58,16,5,11,78.65,2,0,None
Delhi,New Delhi,New Delhi Central,28.64678,77.13802,0.92,0.79,0.76,0.58,1,2,12,62.97,1,0,None
Delhi,New Delhi,New Delhi Central,28.64361,77.14153,0.81,0.79,0.73,0.58,3,3,13,56.79,1,1,Eve Teasing
Delhi,New Delhi,New Delhi Central,28.6551,77.15316,0.86,0.79,0.78,0.58,12,2,14,78.45,2,0,None
Delhi,New Delhi,New Delhi West,28.61753,77.24134,0.71,0.4,0.5,0.49,23,6,15,50.84,1,0,None
Delhi,New Delhi,New Delhi West,28.61909,77.22092,0.78,0.4,0.41,0.49,7,3,16,69.48,1,0,None
Delhi,New Delhi,New Delhi West,28.60415,77.22632,0.7,0.4,0.39,0.49,4,5,17,48.83,0,0,None
Delhi,New Delhi,New Delhi West,28.60154,77.2412,0.85,0.4,0.54,0.49,16,5,18,74.13,1,0,None
Delhi,New Delhi,New Delhi West,28.6339,77.23594,0.74,0.4,0.55,0.49,17,6,19,71.17,1,0,None
Delhi,New Delhi,New Delhi West,28.61365,77.233,0.69,0.4,0.48,0.49,8,3,20,68.93,1,1,Stalking
Delhi,New Delhi,New Delhi West,28.61794,77.23988,0.77,0.4,0.44,0.49,20,3,21,60.45,1,1,Eve Teasing
Delhi,New Delhi,New Delhi West,28.61548,77.22951,0.79,0.4,0.42,0.49,3,4,22,52.66,1,0,None
Delhi,New Delhi,New Delhi West,28.60467,77.23227,0.67,0.4,0.53,0.49,22,3,23,50.82,1,1,Stalking
Delhi,New Delhi,New Delhi West,28.61658,77.22894,0.79,0.4,0.59,0.49,12,3,24,74.58,1,0,None
Delhi,New Delhi,New Delhi West,28.61021,77.22973,0.72,0.4,0.33,0.49,3,2,25,48.38,0,0,None
Delhi,New Delhi,New Delhi West,28.62459,77.23253,0.7,0.4,0.37,0.49,23,4,26,48.35,0,1,Stalking
Delhi,New Delhi,New Delhi West,28.60084,77.2421,0.69,0.4,0.49,0.49,0,4,27,51.44,1,1,Stalking
Delhi,New Delhi,New Delhi West,28.61395,77.22463,0.89,0.4,0.34,0.49,13,1,28,71.7,1,0,None
Delhi,New Delhi,New Delhi West,28.62973,77.24697,0.71,0.4,0.35,0.49,20,0,29,56.18,1,0,None
Delhi,New Delhi,New Delhi East,28.49535,77.07627,0.85,0.48,0.42,0.79,17,3,30,62.89,1,0,None
Delhi,New Delhi,New Delhi East,28.505,77.08261,0.81,0.48,0.3,0.79,23,2,31,43.24,0,1,Eve Teasing
Delhi,New Delhi,New Delhi East,28.4901,77.07111,0.82,0.48,0.47,0.79,18,6,32,55.0,1,0,None
