city,date,crime_index
Delhi,2020-01-01,59.57
Delhi,2020-02-01,60.06
Delhi,2020-03-01,66.28
Delhi,2020-04-01,39.56
Delhi,2020-05-01,37.39
Delhi,2020-06-01,37.12
Delhi,2020-07-01,34.54
Delhi,2020-08-01,59.7
Delhi,2020-09-01,59.2
Delhi,2020-10-01,57.32
Delhi,2020-11-01,55.71
Delhi,2020-12-01,57.08
Delhi,2021-01-01,62.55
Delhi,2021-02-01,62.68
Delhi,2021-03-01,63.49
Delhi,2021-04-01,48.74
Delhi,2021-05-01,50.85
Delhi,2021-06-01,62.93
Delhi,2021-07-01,60.12
Delhi,2021-08-01,59.55
Delhi,2021-09-01,52.97
Delhi,2021-10-01,54.9
Delhi,2021-11-01,54.66
Delhi,2021-12-01,55.21
Delhi,2022-01-01,61.11
Delhi,2022-02-01,60.81
Delhi,2022-03-01,65.03
Delhi,2022-04-01,65.62
Delhi,2022-05-01,64.66
Delhi,2022-06-01,60.21
Delhi,2022-07-01,61.2
Delhi,2022-08-01,53.15
Delhi,2022-09-01,52.77
Delhi,2022-10-01,54.44
Delhi,2022-11-01,51.45
Delhi,2022-12-01,53.78
Delhi,2023-01-01,57.65
Delhi,2023-02-01,59.88
Delhi,2023-03-01,63.72
Delhi,2023-04-01,59.13
Delhi,2023-05-01,60.75
Delhi,2023-06-01,62.11
Delhi,2023-07-01,61.36
Delhi,2023-08-01,53.83
Delhi,2023-09-01,56.05
Delhi,2023-10-01,54.5
Delhi,2023-11-01,55.44
Delhi,2023-12-01,59.13
Delhi,2024-01-01,59.85
Delhi,2024-02-01,61.73
Delhi,2024-03-01,60.97
Delhi,2024-04-01,61.9
Delhi,2024-05-01,62.29
Delhi,2024-06-01,62.71
Delhi,2024-07-01,57.62
Delhi,2024-08-01,54.42
Delhi,2024-09-01,51.72
Delhi,2024-10-01,54.51
Delhi,2024-11-01,53.83
Delhi,2024-12-01,50.86
Delhi,2025-01-01,59.0
Delhi,2025-02-01,58.9
Delhi,2025-03-01,61.88
Delhi,2025-04-01,61.17
Delhi,2025-05-01,59.52
Delhi,2025-06-01,59.99
Delhi,2025-07-01,53.91
Delhi,2025-08-01,58.93
Delhi,2025-09-01,56.19
Delhi,2025-10-01,55.4
Delhi,2025-11-01,49.78
Delhi,2025-12-01,56.17
Delhi,2026-01-01,61.3
Delhi,2026-02-01,61.05
Delhi,2026-03-01,63.19
