state,district,taluk,latitude,longitude,streetlights,population_density,patrol_frequency,base_crime_rate
Delhi,New Delhi,New Delhi Central,28.64907,77.1355,0.94,0.79,0.73,0.58
Delhi,New Delhi,New Delhi West,28.61637,77.2362,0.71,0.49,0.48,0.53
Delhi,New Delhi,New Delhi East,28.49277,77.08342,0.85,0.43,0.4,0.65
Delhi,North Delhi,North Delhi Central,28.44027,77.09028,0.84,0.79,0.7,0.7
Delhi,North Delhi,North Delhi West,28.52943,77.0856,0.73,0.44,0.56,0.64
Delhi,North Delhi,North Delhi East,28.53134,77.18156,0.75,0.49,0.42,0.63
Delhi,South Delhi,South Delhi Central,28.73967,77.21427,0.92,0.85,0.65,0.58
Delhi,South Delhi,South Delhi West,28.71654,77.25191,0.74,0.43,0.44,0.55
Delhi,South Delhi,South Delhi East,28.62259,77.26029,0.7,0.42,0.42,0.65
Delhi,East Delhi,East Delhi Central,28.73518,77.33283,0.83,0.83,0.75,0.55
Delhi,East Delhi,East Delhi West,28.57681,77.30641,0.77,0.46,0.48,0.72
Delhi,East Delhi,East Delhi East,28.58197,77.10428,0.73,0.52,0.44,0.62
Delhi,West Delhi,West Delhi Central,28.74889,77.18774,0.8,0.81,0.67,0.7
Delhi,West Delhi,West Delhi West,28.67128,77.21474,0.74,0.45,0.4,0.59
Delhi,West Delhi,West Delhi East,28.70809,77.02031,0.73,0.39,0.38,0.62
Delhi,Central Delhi,Central Delhi Central,28.72182,77.34323,0.83,0.83,0.75,0.55
Delhi,Central Delhi,Central Delhi West,28.56345,77.31681,0.7,0.43,0.42,0.6
Delhi,Central Delhi,Central Delhi East,28.56861,77.11469,0.74,0.44,0.49,0.5
Delhi,South West Delhi,South West Delhi Central,28.72593,77.21872,0.8,0.81,0.67,0.7
Delhi,South West Delhi,South West Delhi West,28.64832,77.24572,0.77,0.41,0.48,0.6
Delhi,South West Delhi,South West Delhi East,28.68513,77.05129,0.82,0.41,0.41,0.59
Delhi,North West Delhi,North West Delhi Central,28.62662,77.27735,0.9,0.82,0.74,0.77
Delhi,North West Delhi,North West Delhi West,28.61844,77.26372,0.67,0.35,0.37,0.56
Delhi,North West Delhi,North West Delhi East,28.67658,77.26284,0.7,0.36,0.43,0.72
Delhi,Shahdara,Shahdara Central,28.48341,77.19196,0.9,0.75,0.69,0.57
Delhi,Shahdara,Shahdara West,28.50198,77.28155,0.73,0.37,0.41,0.66
Delhi,Shahdara,Shahdara East,28.44076,77.15934,0.7,0.28,0.47,0.7
Uttar Pradesh,Lucknow,Lucknow Central,26.78832,80.93618,0.65,0.9,0.72,0.57
Uttar Pradesh,Lucknow,Lucknow West,26.91008,80.90326,0.5,0.44,0.5,0.52
Uttar Pradesh,Lucknow,Lucknow East,26.78934,80.8596,0.53,0.35,0.47,0.61
Uttar Pradesh,Kanpur,Kanpur Central,26.67533,80.99139,0.58,0.84,0.68,0.58
Uttar Pradesh,Kanpur,Kanpur West,26.74217,81.04064,0.43,0.37,0.46,0.56
Uttar Pradesh,Kanpur,Kanpur East,26.68018,80.97539,0.45,0.45,0.38,0.64
Uttar Pradesh,Gautam Buddha Nagar (Noida),Gautam Buddha Nagar (Noida) Central,26.48202,81.00135,0.61,0.75,0.77,0.57
Uttar Pradesh,Gautam Buddha Nagar (Noida),Gautam Buddha Nagar (Noida) West,26.48909,81.02944,0.44,0.32,0.4,0.67
Uttar Pradesh,Gautam Buddha Nagar (Noida),Gautam Buddha Nagar (Noida) East,26.5057,80.92213,0.5,0.42,0.4,0.58
Uttar Pradesh,Varanasi,Varanasi Central,26.85712,81.06009,0.71,0.79,0.69,0.67
Uttar Pradesh,Varanasi,Varanasi West,26.82083,81.03857,0.53,0.45,0.57,0.48
Uttar Pradesh,Varanasi,Varanasi East,26.80633,81.0167,0.46,0.34,0.46,0.6
